Feature,Importance
COURSE_CD_FULL_ALT_706AA.7,0.0009839542
COURSE_TITLE_Bachelor Of Industrial Design,0.0009802663
COURSE_CD_FULL_ALT_256HG.1,0.0009791306
COURSE_TITLE_Bachelor Of Accounting,0.0009786997
BIRTH_COUNTRY_IRELAND,0.0009784538
COURSE_CD_FULL_ALT_ARB202.1,0.0009773091
COURSE_CD_FULL_ALT_ARB002.1,0.00097537605
COURSE_CD_FULL_ALT_148JA.3,0.0009736411
COURSE_TITLE_Bachelor Of Politics And International Relations/Bachelor Of Laws,0.00097304914
COURSE_CD_FULL_ALT_660AA.6,0.0009684309
COURSE_CD_FULL_ALT_924AA.6,0.000966315
COURSE_TITLE_Bachelor Of Science,0.00096620206
COURSE_CD_FULL_ALT_HLB001.1,0.0009636743
COURSE_CD_FULL_ALT_HLC501.1,0.00096363894
COURSE_CD_FULL_ALT_MGSC02.2,0.00095590163
COURSE_CD_FULL_ALT_MXP001.1,0.00095453695
COURSE_CD_FULL_ALT_271JA.1,0.00095150346
BIRTH_COUNTRY_AUSTRALIA,0.00095052447
COURSE_CD_FULL_ALT_274JA.6,0.0009500944
"BIRTH_COUNTRY_UNITED KINGDOM, NFD",0.0009472797
COURSE_CD_FULL_ALT_SCSC01.1,0.00094642
COURSE_CD_FULL_ALT_267JA.1,0.00094239664
COURSE_CD_FULL_ALT_SCSC03.1,0.0009414991
COURSE_CD_FULL_ALT_ARB404.1,0.0009412907
BIRTH_COUNTRY_CROATIA,0.0009406272
COURSE_CD_FULL_ALT_131JA.1,0.0009402418
COURSE_CD_FULL_ALT_206JA.2,0.0009342515
COURSE_CD_FULL_ALT_348JA.3,0.0009318888
COURSE_TITLE_Master Of Public Health,0.0009280947
COURSE_CD_FULL_ALT_365JA.1,0.000927775
COURSE_CD_FULL_ALT_NPH001.1,0.00092731183
AGE_RANGE_70 to 79,0.00092673517
COURSE_TITLE_Bachelor Of Film Production,0.00092634093
BIRTH_COUNTRY_TUNISIA,0.00092294154
COURSE_CD_FULL_ALT_EDG301.1,0.00092267705
COURSE_CD_FULL_ALT_317JA.2,0.0009225655
COURSE_TITLE_Graduate Certificate In Public Policy And Finance,0.00092144107
COURSE_CD_FULL_ALT_739AD.2,0.0009185987
COURSE_CD_FULL_ALT_MGB001.1,0.0009159463
COURSE_CD_FULL_ALT_ARB104.1,0.0009149387
COURSE_TITLE_Bachelor Of Arts,0.0009135786
COURSE_CD_FULL_ALT_317JA.1,0.0009127634
BIRTH_COUNTRY_VIET NAM,0.000911938
